PAR_CODE;PAR_OMS;CASnummer;parametergroup0;parametergroup1;parametergroup2;DATUM_STATUS;STATUS
CaCl2;calciumchloride;10043-52-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
Rn;radon;10043-92-2;FYSISCH-CHEMISCH;ChemischeStof;;7-1-2012;Gepubliceerd
benzCl;benzylchloride;100-44-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
Cs137;cesium 137;10045-97-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
benzAe;benzylamine;100-46-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
benzntl;benzonitril;100-47-0;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
ClDO;chloordioxide;10049-04-4;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
aHOxTol;alfa-hydroxytolueen;100-51-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
BenAh;benzaldehyde;100-52-7;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
c13DClC3e;cis-1,3-dichloorpropeen;10061-01-5;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
t13DClC3e;trans-1,3-dichloorpropeen;10061-02-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
C1yAn;methylaniline;100-61-8;FYSISCH-CHEMISCH;ChemischeStof;;27-8-2011;Gepubliceerd
quizlfPC2y;quizalofop-P-ethyl;100646-51-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
ansl;anisool;100-66-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
desiC3yatzne;desisopropylatrazine;1007-28-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
NOpprdne;nitrosopiperidine;100-75-4;FYSISCH-CHEMISCH;ChemischeStof;;27-8-2011;Gepubliceerd
2C1y1Fy2C3ol;2-methyl-1-fenyl-2-propanol;100-86-7;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
14DactBen;1,4-diacetylbenzeen;1009-61-6;FYSISCH-CHEMISCH;ChemischeStof;;28-1-2014;Gepubliceerd
Sr90;strontium 90;10098-97-2;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
MC-LR;microcystine-LR;101043-37-2;FYSISCH-CHEMISCH;ChemischeStof;;27-8-2011;Gepubliceerd
anlzne;anilazine;101-05-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
MC-YR;microcystine-YR;101064-48-6;FYSISCH-CHEMISCH;ChemischeStof;;27-8-2011;Gepubliceerd
44C1yeb2ClAn;4,4'-methyleenbis(2-chlooraniline);101-14-4;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
TbnrC1y;tribenuronmethyl;101200-48-0;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
cycxdm;cycloxydim;101205-02-1;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
Clpfm;chloorprofam;101-21-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
barbn;barban;101-27-9;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
fenrn;fenuron;101-42-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
flufnxrn;flufenoxuron;101463-69-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
desmtn;desmetryn;1014-69-3;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
simtn;simetryn;1014-70-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
4BrFyFyEtr;4-broomfenylfenylether;101-55-3;FYSISCH-CHEMISCH;ChemischeStof;;6-7-2013;Gepubliceerd
44C1yebNNDC1;4,4'-methyleenbis(N,N-dimethylaniline);101-61-1;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
44C1yeDAn;4,4'-methyleendianiline;101-77-9;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
44DAoDFyEtr;4,4'-diaminodifenylether;101-80-4;FYSISCH-CHEMISCH;ChemischeStof;;10-5-2014;Gepubliceerd
FyEtr;fenylether;101-84-8;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
aC6ycinnAh;alfa-hexylcinnamaldehyde;101-86-0;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
DGRE;diglycidyl resorcinol ether (DGRE);101-90-6;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
Co60;kobalt 60;10198-40-0;FYSISCH-CHEMISCH;ChemischeStof;;8-6-2011;Gepubliceerd
